 ,,, ,,,,,,, ,,,,, ,
,Juju's Text Engine,,,,Blocks are always 6 colums wide!,,,,,,,Dialogue box explanation,,,,
,"c1: The internal tag that indentifies a piece of text. The script should return ""true"" or ""false"".",,,,character-by-character [fontAbold]typewriter[] display. Styles and Command Tags add even more options for creating dynamic and engaging text delivery.,,,,,,commands1,Here are a couple of examples.,,[green]Portraits,,commands2
,"c2: The text to show as the main text. This is, for example, what an NPC is saying to the player.",,,intro10,There's a lot to talk about so here's a brief overview of the new features. Have a click around and see what interests you. I strongly recommend you go through the ,,[green]Dialogue Boxes,,diag0,,,,,[green]Special Effects,,commands3
,c3: A script that controls the visibility of the option. See below. May be left blank.,,,,project file in detail.,,[green]Command Tags / Portraits,,commands0,,,,,[green]Back,,intro10
,c4: Text for the dialogue option.,,,,,,[green]Changes from v3,,changes0,,commands2,"The portrait on the left is[!img,L,1] angry! This used the [fontAitalic]!img[] command.[!delay,40] But wait, the red portrait is[!spr,R,spr_portrait_red_angry] angry too! This used the [fontAitalic]!spr[] command.##",,[green]Back,,commands1
,c5: A script to run when the player clicks on this particular option. This may be left blank.,,,,,,[red]Quit,,exit,,,"You can use [fontAitalic]delay[][!delay,20].[!delay,20].[!delay,20]. as well.##Don't forget to[!img,L,0][!spr,R,spr_portrait_red] reset your portraits after you've changed their sprite/image.",,,,
,c6: The tag to jump to when the player clicks this option. Leave blank to simply close the conversation.,,,exit,Thanks for swinging by. Don't forget to get in touch with @jujuadams if you have any feedback or questions.,,"[green]Wait, I hadn't finished",,intro10,,commands3,"This particular example uses the[!scr,scr_piggies] [fontAitalic]!scr[] command to launch a wing of flying pigs across the screen.",,[green]Back,,commands1
,,,,,,,"[orange]Hey, go follow @jujuadams",scr_open_twitter,intro10,,!!eB,,,,,
,Column 3 allows the developer to reference a script to control the appearance of a particular option. This can be used,,,,,,[red]Bye!,scr_done,,,,,,,,
,"to hide interactions based on, for example, the player character's alignment or charisma score. This script should return",,,!!endBlock,,,,,,,,,,,,
,"""true"" if the dialogue option is to be shown and ""false"" if the dialogue option is to be hidden.",,,,,,,,,,,,,,,
,,,,,,,,,,,!!sB,,,,,
,Text defined in columns 2 and 4 are run through the formatting script scr_juju_text() and can be formatted using the,,,,,,,,,,changes0,Juju has tried to keep the changes to the internal workings of the text engine (the formatting part) unchanged. The previous formatting system was pretty limited and didn't allow for much creativity,,[green]Continue,,changes1
,"same style tags as in scr_juju_text_formatting(), modified to however you'd like.",,,,,,,,,,changes1,[fontAitalic]Styles[] operate in a similar way to the previous formatting system only now they are executed in the Draw event rather than being pre-calculated by the parser. This means you can have active code in,,[green]Continue,,changes2
,,,,,,,,,,,,[fontAbold]scr_juju_text_styles()[]. This opens the door for some advanced effects.,,,,
,Please note that options must start on the same row as the main text (column 2).,,,,,,,,,,changes2,"There's a new dependency on the included scr_juju_font system which provides simple middleman management of fonts, adding the equivalent of [fontAitalic]draw_get_font()[]. Make sure that [fontAitalic]scr_font_init()[]",,[green]Back,,intro10
,,,,,,,,,,,,is called at the start of the game.,,,,
,The .csv files themselves may or not require a different delimiter depending on what text you're using. The default method,,,,,,,,,,!!eB,,,,,
,"of delimiting cells is a comma. Naturally, this gets in the way of generic speech which does tend to use rather a lot of",,,,,,,,,,,,,,,
,commas. I recommend using a vertical bar (ASCII character 124) to delimit cells and a grave accent (character 96) to,,,,,,,,,,,,,,,
,delimit text. These options are readily adjustable when saving your .csv file (you may need to use Save As in some,,,,,,,,,,,,,,,
,programs).,,,,,,,,,,!!sB,,,,,
,,,,,,,,,,,starter0,"In this brief tutorial, you'll learn how to draw some text to the screen with two different fonts in different colours and then destroy that text when the user presses a key.",,[green]Continue,,starter1
,,,,,,,,,,,starter1,"You'll need to import the following objects into your project: [fontAitalic]obj_juju_text, obj_juju_dialogue_box, obj_juju_dialogue_option, obj_juju_portrait[].##You'll need scripts from the [fontAitalic]Juju's Text Engine[] folder ",,[green]Continue,,starter2
,,,,,,,,,,,,in the scripts section of the resource tree.##Make sure you check that all the scripts have been correctly imported by checking the example project and your own.,,,,
,,,,,,,,,,,starter2,"At game start, you'll need to call the script [fontAitalic]scr_juju_font_init()[] add this script to a controller object. Add a font called [fontAbold]fnt_a[] and another font called [fontAbold]fnt_b[].",,[green]Continue,,starter3
,,,,,,,,,,,starter3,"In the create event of this controller object, add a command using [fontAitalic]scr_juju_text[]. For the purposes of the tutorial use this line:##",,[green]Continue,,starter4
,,,,,,,,,,,,"{}testInstance = scr_juju_text( 20, 20,   '[red]fnt_a[]. [fontB][blue]fnt_b[].', ' ',  'styleA',   ' ', ' ' );##Note the use of single quote marks here - due to the way GameMaker's string handling works,",,,,
,,,,,,,,,,,,you will not be able to use double quotes when loading from a .csv file.,,,,
,,,,,,,,,,,starter4,In the step event of the controller object add this code:##,,[green]Continue,,starter5
,,,,,,,,,,,,if ( keyboard_check_released( vk_anykey ) )#with ( testInstance ) instance_destroy();,,,,
,,,,,,,,,,,starter5,Place your controller instance in a room and start the project. Your text should look something like this:##[red]fnt_a[]. [fontB][blue]fnt_b[].#,,[green]Continue,,starter6
,,,,,,,,,,,,,,[green]Could you repeat that?,,starter1
,,,,,,,,,,,starter6,Now press a key and the text should disappear. Easy as that!,,[green]Back,,intro10
,,,,,,,,,,,!!eB,,,,,
